Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Lucky (7 glued spots),Ladybug,3,$28-70,$9-18,$1-7,4040,With a 2nd gen tush tag
Lucky O'Day,Bear,14,$3-7,$1,$1,40325,
Lucy Key-clip,Peanuts,17,$3-5,$1,$1,40858,
Luke (Black),Dog: Black Lab,5,$2-8,$1,$1,4214,
Luke (Golden),Dog: Golden Doodle,19,$12-25,$2-5,$1,42054,
Luke Key-clip,Dog: Black Lab,14 sm,$3-5,$1,$1,40402,
Lullaby,Lamb,"7,11",$2-7,$1,$1,4583,
Lulu,"Ni Hao, Kailan",16,$4-10,$1,$1,40780,
Lumberjack,Beaver,"7,11",$1-9,$1,$1,40001,
Lupe,Goat/ Ferdinand,19,$3-7,$1-3,$2,42265,"Movie, not exclusive"
Lurkey,Turkey,"6,7",$2-7,$1,$1,4309,
M (M beanie),Bear,Alphabet,$1-3,$1,$1,40514,
M&M's (multi),Bear,15,$10-35,$9-15,$1-5,47121,M&Ms Walgreens / low side are all auctions
M.C. Anniversary 1st Edition,Bear,11,$5-12,$1-5,$1-3,none,Ty MBNA
M.C. Anniversary 2nd Edition,Bear,11,$5-12,$1-5,$1-3,4982,Ty MBNA
M.C. Anniversary 3rd Edition,Bear,12,$5-12,$1-5,$1-3,49009,Ty MBNA
M.C. Anniversary 4th Edition,Bear,13,$7-10,$1-5,$1-3,49011,Ty MBNA
M.C. Anniversary 5th Edition,Bear,14,$10-20,$1-5,$1-2,49032,Ty MBNA
M.C. Anniversary 6th Edition,Bear,15,$10-20,$1-5,$1-2,49037,Ty MBNA
M.C. Anniversary 7th Edition,Bear,15,$10-20,$1-5,$1-2,49040,Mastercard
M.C. Beanie (black nose),Bear,9,$2-5,$1-3,$1,4997,Ty MBNA
M.C. Beanie (brown nose),Bear,9,$2500- 4500,$900- 3000,$150- 700,4997,Ty MBNA - authenticate this one
M.C. Beanie II,Bear,10,$2-8,$1-3,$1,4987,Ty MBNA
M.C. Beanie III,Bear,11,$2-8,$1-3,$1,4981,Ty MBNA
M.C. Beanie IV,Bear,12,$2-8,$1-3,$1,49006,Ty MBNA
M.C. Beanie Key-clip,Bear,14 sm,$2-8,$1-3,$1,CC010,Ty MBNA
M.C. Beanie V,Bear,13,$2-8,$1-3,$1,49010,Ty MBNA
M.C. Beanie VI,Bear,14,$2-8,$1-3,$2,49033,Ty MBNA
M.C. Beanie VII,Bear,15,$2-8,$1-3,$2,49036,
M.C. Beanie VIII,Bear,15,$2-8,$1-3,$2,49039,Mastercard
Mac,Bird,5,$1-10,$1,$1,4225,Many false rumors about this beanie
Magenta (extra USPS tag),Blue's Clues,14,$25-50,$20,$1,48325,USPS Promo
Magenta,Blue's Clues,14,$15-30,$5-14,$2-7,40346,
Magic,Dragon,3,$50- 150,$15-60,$1-5,4088,With a 1st gen tush tag
Magic,Dragon,3,$35- 100,$15-45,$1-5,4088,With a 2nd gen tush tag
Magic (hot pink),Dragon,4,$25- 125,$12-55,$5-15,4088,Only comes with a 4th gen swing tag and 3rd gen tush tag.
Magic (hot pink wings & spine),Dragon,4,$55- 150,$20-65,$5-15,4088,Only comes with a 4th gen swing tag and 3rd gen tush tag.
Magic (medium pink),Dragon,4,$5-20,$2-6,$1-3,4088,Commonly mistaken for the harder to nd Hot Pink
Magic (pale thread),Dragon,4,$5-20,$2-6,$1-3,4088,
Magic (regular pink),Dragon,4,$5-20,$2-6,$1-3,4088,
Maiden,Ladybug,BB2.0,$4-8,$1,$1,42045,
Majestic,Bear,14,$8-15,$2-5,$1-3,46058,"UK, Australia, New Zealand"
Majestic,Seahorse,19,$4-8,$1-3,$1,42072,
Majestic (sparkly),Seahorse,19,$20-40,$9-20,$1-10,42072,
Maju (Singapore) black nose,Bear,13,$15-25,$5-8,$1-3,46039,Asia-Paci c
Maju (Singapore) ag nose,Bear,13,$65-85,$20-35,$12- 18,46039,Singapore
Make & Bake with Peppa Pig,Peppa Pig,19,$12-20,$3-5,$1-3,46186,UK
Malaysia,Bear,13,$6-12,$3-5,$1,46024,Malaysia
Maliha and Jade,Elephant,15,see below,see below,see below,40600,see Shocks with Maliha and Jade hang tag
Manchu,Panda Bear,14,$4-12,$1-5,$1,40455,
Mandy,Panda Bear,"7,11",$4-8,$1,$1,40020,
Manes,Lion,14,$7-12,$1-3,$1,40352,
Manny,Manatee,3,$20-55,$10-20,$1-3,4081,
Manny,Manatee,4,$4-12,$1,$1,4081,
Manny,Ice Age,15,$12-17,$2-5,$1,40773,
Maple,Bear,"4,5",$4-12,$1-3,$1,4600,Canada
Maple (with Pride tush tag),Bear,4,$50- 125,$20-35,$5-12,4600,Canada
Marcel (big eyes),Dog,19,$5-12,$1-3,$1,41203,
Marcel Key-clip,Dog,19,$9-15,$2-5,$1,36655,
March (neck ru e),Bear,Birthday,$2-5,$1,$1,4390,
March (party hat),Bear,Birthday,$2-5,$1,$1,4554,
Mardi Gras,Bear,13,$3-8,$1,$1,40199,
Mark Martin #01,Bear,15,$2-5,$1,$1,40643,Nascar
Marsh,Frog,BBOM,$5-12,$1-3,$1,48436,BBOM
Marshall,Horse,12,$5-11,$1-3,$1,40068,
Marshall (extra tag),Horse,12,$100- 150,$40-75,$1,40068,Arlington Junior Jockey Club
Marshall (extra tag),Horse,12,$35-45,$10-20,$1,40068,Arlington Park
Marshmallow,Bunny Rabbit,13,$2-5,$1,$1,40182,
Marty,Madagascar,15,$4-15,$1-5,$1,40758,
Mary,Bear,14,$17-25,$4-9,$1-3,46079,Vedes (Germany)
Mascotte,Bear,14,$5-12,$1-3,$1,46060,Europe
Masque,Bear,13,$1-5,$1,$1,44044,Ty Store
Massachusetts,Bear,12,$3-5,$1,$1,40125,State
Massachusetts Mayflower,Bear,13,$3-5,$1,$1,40299,Trade Show
Mater,Tow truck/ Cars 3,Sparkle,$7-15,$2-5,$1,42254,
Matlock,Dog,15,$15-30,$2-8,$1-3,40656,
Matt Kenseth #17,Bear,15,$4-8,$1,$1,40561,Nascar
Mattie,Cat,10,$7-14,$1-3,$1,4521,
Max (Max & Ruby),Max & Ruby,15,$5-10,$2-5,$,40606,US and CAN
Max,Dog/The Secret Life of Pets Dog,19,$5-14,$3,$1,41165,
Max (multicolored) Autism Awareness,Dog,19,$8-15,$2-5,$1-3,40448,Ty Store
May (neck ru e),Bear,Birthday,$2-5,$1,$1,4392,
May (party hat),Bear,Birthday,$2-5,$1,$1,4556,
McLucky,Bear,BB2.0,$12-20,$2-5,$1-3,44124,Ty Store
McWooly,Bear,13,$5-10,$1-3,$1,40174,
Meekins,Lamb,14,$2-10,$1-3,$1,40329,
Meena,Elephant/ Sing,19,$4-7,$1-3,$1,41231,"Illumination Movie, not excl"
Mel,Koala Bear,"4,5",$1-7,$1,$1,4162,
Mel (dog),Dog/The Secret Life of Pets Dog,19,$4-10,$1-3,$1,41164,
Mel (minion),Minion/Despicable Me,19,$3-10,$1-3,$1,41220,
Melbourne,Bear,14,$9-14,$1-3,$1,46053,Australia
Mellow,Bear,"7,8",$1-5,$1,$1,4344,
Melman,Madagascar,15,$4-11,$1-3,$1,40759,
Melton,Snowman,19,$16-25,$3-11,$1-3,47161,Walgreens
Merlin,Cat,19,$5-10,$1-3,$1,47160,
Merlion,Bear,15,$20-40,$7-12,$1-3,46091,Asia-Paci c
Merriment,Bear,BBOM,$4-12,$1-3,$1,48431,BBOM
Merry Kiss-mas,Bear,13,$2-7,$1,$1,40276,
Merrybelle,Bear,13,$3-7,$1,$1,40283,
Miami,Bear,14,$3-8,$1,$1,40378,
Michelangelo,Teenage Mutant Ninja Turtles,19,$7-12,$3-5,$1,41185,
Mickey (Christmas),Mickey Mouse,19,$5,$1,$1,47165,Walgreens/Disney
Mickey (no sound),Mickey Mouse,Sparkle,$7-11,$1-3,$1,41058,Disney
Mickey (with sound),Mickey Mouse,Sparkle,$17-25,$4-9,$1-3,41072,Disney - sound goes out fast
Mickey (Sparkle red),Mickey Mouse,Sparkle,$7-12,$2-5,$1-3,41098,Disney
Midas,Lion,19,$12,$1,$1,42057,
Midas,Lion,BB2.0,$3-5,$1,$1,42028,
Midnight,Panther,"7,8",$2-7,$1-3,$1,4355,
Mike,Mouse/Sing,19,$3-7,$1-3,$1,41235,
Millenium (errored spelling),Bear,5,$1-10,$1,$1,4226,
Millennium (correct spelling),Bear,5,$1-10,$1,$1,4226,
Millie (big eyes),Cat,19,$12-20,$2-5,$1-3,42304,
Ming,Panda Bear,BB2.0,$4-7,$1-3,$1,42030,
Ming (redesign 2012),Panda Bear,19,$20-30,$8-20,$2-8,42065,
Ming (yellow eyes),Panda Bear,19,$12-20,$2-5,$1,42065,
Ming (blue eyes),Panda Bear,19,$12-20,$2-5,$1,42110,
Ming Key-clip,Panda Bear,19 sm,$4-9,$1-3,$1,36653,
Ming-Ming,Wonder Pets,15,$10-20,$2-5,$1-3,40733,
"Ming-Ming (smaller version, with book)",Wonder Pets,15,$10-20,$2-5,$1-3,47079,Bookstores
Minksy,Bunny Rabbit,13,$2-6,$1,$1,40185,
Minneapolis,Bear,12,$2-6,$1,$1,40132,Trade Show
Minnesota,Bear,12,$4-7,$1-3,$1,40119,State
Minnesota Lady'sslipper,Bear,13,$4-7,$1-3,$1,40295,Trade Show
"Minnie (Ballerina, no sound)",Minnie Mouse,Sparkle,$8-14,$2-5,$1,41002,Disney
"Minnie (Ballerina, With Sound)",Minnie Mouse,Sparkle,$12-20,$3-7,$1-3,41001,Disney
Minnie (Cheerleader),Minnie Mouse,Sparkle,$5-10,$1-5,$1,41214,Disney
Minnie (Christmas),Minnie Mouse,19,$10-20,$2-5,$1-3,47166,Walgreens/Disney
Minnie (Pink Dress),Minnie Mouse,Sparkle,$3-9,$2-5,$1,41060,Disney
"Minnie (Purple Dress, no sound)",Minnie Mouse,Sparkle,$3-5,$1,$1,41061,Disney
"Minnie (Purple Dress, With Sound)",Minnie Mouse,Sparkle,$6-12,$1-3,$1,41070,Disney
"Minnie (Rainbow Dress, no sound)",Minnie Mouse,Sparkle,$3-7,$1-4,$1,41066,Disney
"Minnie (Rainbow Dress, With Sound)",Minnie Mouse,Sparkle,$6-12,$1-4,$1,41080,Disney
Minnie (Red Dress) (Disney Sparkle on ht),Minnie Mouse,Sparkle,$3-7,$1-4,$1,41059,Disney
"Minnie (Red Dress, With Sound)",Minnie Mouse,Sparkle,$6-12,$1-4,$1,41071,Disney
Minnie (Red Dress) (Sparkle on ht),Minnie Mouse,Sparkle,$3-7,$1-4,$1,41099,Disney
Minnie (Teal Dress) no sound,Minnie Mouse,Sparkle,$3-8,$1-4,$1,41065,Disney
"Minnie (Teal Dress, With Sound)",Minnie Mouse,Sparkle,$8-14,$1-4,$1,41079,Disney
"Minnie (Ty Dye Dress, no sound)",Minnie Mouse,Sparkle,$3-7,$1-4,$1,41068,Disney
"Minnie (Ty Dye Dress, With Sound)",Minnie Mouse,Sparkle,$8-15,$1-4,$1,41084,Disney
Minuet,Horse,Pinkys,$3-6,$1,$1,40330,
Mischief,Monkey,15,$5-14,$2-5,$1-3,40807,
Miso,Cat - Siamese,19,$6-10,$3-5,$1-2,40548,
Mississippi,Bear,13,$1-5,$1,$1,44079,Ty Store
Mississippi,Bear,13,$1-5,$1,$1,40320,
Missy,Orangutan,18,$20-35,$9-12,$3-5,40895,
Mistletoe,Bear,"7,9",$2-7,$1,$1,4500,
Mitya (2017),Bear,19,$2750- 4000,$1800- 2800,$750- 1200,N/A,Russia Toy Fair
Mitzi,Cat - Gray Tabby,19,$6-10,$3-5,$1-2,40539,
Mom,Bear,13,$1-5,$1,$1,40216,
Mom 2006,Bear,14,$1-5,$1,$1,44086,Ty Store
Mom 2007,Bear,15,$1-5,$1,$1,44103,Ty Store
MOM-e (2002),Bear,10,$1-5,$1,$1,4411,Ty Store
MOM-e 2003,Bear,11,$1-5,$1,$1,4426,Ty Store
MOM-e 2004,Bear,12,$1-5,$1,$1,4438,Ty Store
MOM-e 2005,Bear,13,$1-5,$1,$1,44048,Ty Store
Monarch,Bear,15,$18-30,$8-12,$3-5,47053,S.F. Zoo
Monroe (big eyes),Gorilla,19,$3-6,$1,$1,42123,
Montreal Canadiens,Bear/Hockey,19,$10-13,$5-7,$1-4,41735,NHL licensed
Mooch,Monkey,5,$3-7,$1,$1,4224,
Moonlight,Cat,13,$1-5,$1,$1,40263,
Mooosly,Cow,14,$5-15,$2-5,$1-3,40377,
Moosletoe,Moose,12,$5-10,$1-3,$1,40137,
Mopsy,Peter Rabbit,19,$4-9,$1-3,$1,42277,"Movie, not exclusive"
Morrie,Eel,"6,7",$1-7,$1,$1,4282,
Morsel,Dog,15,$2-5,$1,$1,47090,Hershey's/ Walgreens
Mort,Madagascar,17,$60-90,$25-35,$12- 20,40860,
Mother (2003),Bear,"7,11",$2-7,$1,$1,4588,
Mother 2004,Bear,12,$2-7,$1,$1,40059,
Mothering,Bear,16,$2-7,$1,$1,47118,Hallmark
Motherly,Bear,BB2.0,$2-7,$1,$1,47096,Hallmark
Mr.,Bear,"7,8",$1-5,$1,$1,4363,
Mr. Bean (Jacket & Tie),Mr. Bean,19 UK,$12-15,$3-5,1,46226,UK
Mr. Bean Key-clip,Mr. Bean,19 UK,$12-15,1,1,46203,UK
Mr. Bean (London Guard),Mr. Bean,19 UK,$12-15,$3-5,$1,46205,UK
Mr. Bean (T-shirt),Mr. Bean,19 UK,$12-15,$3-5,$1,46204,UK
Mr. Bean (Teddy),Bear/Mr. Bean,,$10-20,$4-9,$1-3,46179,UK
Mr. Bump,Mr. Men & Little Miss,19,$12-15,$1,$1,42079,
Mr. Dinosaur,Peppa Pig,18 UK,$20-26,$8-10,$3-5,46177,"Poultons Park, Peppa Pig World UK"
Mr. Happy,Mr. Men & Little Miss,19,$12-15,$1,$1,42080,
"Mr. Jeremy Fisher, The Tale of",Beatrix Potter,14,$8-12,$1-3,$1,46066,UK
"Mr. Jeremy Fisher, The Tale of (gold thread)",Beatrix Potter,14,$12-20,$2-5,$1-3,46066,UK
Mr. Krabs,SpongeBob,14,below,below,below,40468,see SpongeBob
Mr. Krabs (Best Buy tag),SpongeBob,14,below,below,below,47056,Best Buy/see SpongeBob
Mr. Krabs Key-clip,SpongeBob,15 sm,below,below,below,40696,see SpongeBob
Mr. Potato,Peppa Pig,19,$30- $42,$12-18,$5-8,46266,UK
Mr. Snoodle,Moshi Monsters,18,$2-7,$1,$1,46193,UK
Mr. Snoodle Key-clip,Moshi Monsters,19 sm,$1-5,$1,$1,46216,UK
Mr. Snow,Snowman,15,$2-12,$1-3,$1,40791,Sells higher at Christmas
Mr. Strong,Mr. Men & Little Miss,19,$12-15,$1,$1,42078,Sells higher in USA
Mr. Tickle,Mr. Men & Little Miss,19,$12-15,$1,$1,42077,
"Mr. Tod, The Tale of",Beatrix Potter,14,$20-32,$9-15,$1-5,46068,UK
"Mr. Tod, The Tale of (gold thread)",Beatrix Potter,14,$20-40,$10-20,$1-5,46068,UK
Mrs.,Bear,"7,8",$1-5,$1,$1,4364,
Mrs. Prickly,Hedgehog,19,$7-12,$1-3,$1,42125,
Mrs. Prickly Key-clip,Hedgehog,19,$5-10,$1-3,$1,36632,
Mrs Tiggy Winkle,Peter Rabbit,19,$4-12,$1-3,$1,42279,"Movie, not exclusive"
Ms. Snow,Snowoman,15,$5-10,$1,$1,40791,Sells higher at Christmas
Muddy,Dog,"7,11",$4-7,$1,$1,40006,
Mu,Cat,13,$2-7,$1,$1,40229,
Mu er,Bear,13,$4-8,$1,$1,44062,Ty Store
Mugungwha (Korea),Bear,10,$4-10,$1-3,$1,4617,Korea
Mukluk (one blue one green eye),Dog: Husky,7,$1-10,$1,$1,40031,
Mukluk (same color eyes),Dog: Husky,"7,11",$1-10,$1,$1,40031,
Mum (2002),Bear,"7,10",$1-8,$1,$1,4517,
Mum (2005),Bear,13,$1-8,$1-3,$1,46028,"Australia, New Zealand"
Mum (2005),Bear,13,$1-8,$1-3,$1,46028,Ty Europe
Mummy Sock Monkey,Sock Monkey,19,below,below,below,41007,See Sock Monkey
Mumsy,Bear,16,$2-10,$1,$1,40769,Walgreens
Muno,Yo Gabba Gabba,18,$4-10,$1,$1,40917,
Muno Key-clip,Yo Gabba Gabba,19,$3-5,$1,$1,40981,
Muscle Man Star,SpongeBob,19,below,below,below,40381,see SpongeBob
MuscleBob Bu Pants,SpongeBob,14,below,below,below,40382,see SpongeBob
My Dad,Cat Wild,15,$2-5,$1,$1,40612,
My Melody (rabbit),Hello Kitty,17,above,above,above,40883,See Hello Kitty
My Mom,Bear,15,$2-5,$1,$1,40604,
My Mum,Bear,15,$3-5,$1,$1,46097,UK/AUS
My Sweet,Bear,15,$1-3,$1,$1,40723,
Mystery,Water Creature,13,$30-40,$14-20,$5-10,46030,UK
Mystic (2009) (smaller eyes),Unicorn,16,$5-10,$1,$1,40785,
Mystic (2010) silver hooves,Unicorn,17,$3-5,$1,$1,40899,
Mystic (big eyes),Unicorn,19,$3-5,$1,$1,42063,
"Mystic (iridescent horn , coarse mane)",Unicorn,"4,5",$1-10,$1,$1,4007,
"Mystic (iridescent horn, rainbow mane)",Unicorn,5,$1-10,$1,$1,4007,
"Mystic (tan horn, coarse mane)",Unicorn,3,$50-65,$14-20,$1,4007,approx. 9 strands of yarn for tail
"Mystic (tan horn, coarse mane)",Unicorn,4,$1-10,$1,$1,4007,approx. 9 strands of yarn for tail
"Mystic (tan horn, fine mane)",Unicorn,1,$999- 1600,$400- 750,$5,4007,approx. 20 strands of yarn for tail
"Mystic (tan horn, fine mane)",Unicorn,2,$200- 400,$50- 125,$5,4007,approx. 20 strands of yarn for tail. Non mint and worn tag approx $40
"Mystic (tan horn, fine mane)",Unicorn,3,$45- 150,$20-55,$5,4007,approx. 20 strands of yarn for tail
"Mystic 2009 (pink horn, silver feet)",Unicorn,17,$3-5,$1,$1,40899,
"Mystic 2010 (white horn, pink feet)",Unicorn,17,$3-5,$1,$1,40785,
Mystique,Tiger,12,$3-5,$1,$1,40062,
N (N beanie),Bear,Alphabet,$3-5,$1,$1,40514,
Nala,Lion King,,$5-10,$1-3,$1,41264,Disney
Nami,Black Rhino,12,$5-9,$1,$1,44201,Ty Store WWF
"Nana (later as ""Bongo"")",Monkey,3,$600- 1100,$125- 450,$1,4067,With sticker or residue over name
"Nana (later as ""Bongo"")",Monkey,3,$800- 1400,$200- 625,$1,4067,No sticker ever
Nana (Ty Store),Bear,14,$10-15,$3-5,$1,44090,Ty Store
Nana 2007,Bear,15,$10-15,$3-5,$1,44111,Ty Store
NANOOK (All caps),Dog Husky,4,$15-40,$9-20,$1,4104,Hang tag name all capital letters. Canada
Nanook,Dog Husky,"4,5",$1-3,$1,$1,4104,
Nara (Korea),Bear,12,$1-3,$1,$1,46003,Asia-Paci c
Nashville Predators,Bear/Hockey,19,$8-12,$5-7,$2-4,41730,NHL licensed
Nectar,Hummingbird,"7,8",$7-12,$1-3,$1,4361,Goes cheap on auctions
Negaraku (Malaysia) black nose,Bear,13,$10-20,$2-5,$1-3,46040,Asia-Paci c
Negaraku (Malaysia) ag nose,Bear,13,$50-90,$25-50,$10- 20,46040,Malaysia
Nemo,Clown sh/ Finding Nemo,Sparkle,$2-8,$1-3,$1,41063,
Nemo,Clown sh/ Finding Dory,19,$2-8,$1-3,$1,41169,
Neon,Seahorse,5,$2-8,$1-3,$1,4239,
Nermal,Gar eld,12,$8-14,$2-7,$1-4,40109,
NESS-e (with logo),Water Creature/Loch Ness Monster,15 UK,$60-85,$15-22,$3-5,46124,"Inverness Center Shop, Scotland, UK"
NESS-e Key-clip (with logo),Water Creature/Loch Ness Monster,15 UK,$35-55,$10-18,$1-3,46126,"Inverness Center Shop, Scotland, UK"
NESS-e,Water Creature/Loch Ness Monster,15,$45-75,$15-22,$3-5,46125,UK
NESS-e Key-clip,Water Creature/Loch Ness Monster,15 UK,$15-20,$10-18,$1-3,46127,UK
New England Patriots,Bear/Football,19,$6-10,$3-5,$1,41724,NFL licensed
New Jersey,Bear,13,$4-7,$1,$1,40227,State
New Year (2006),Bear,13,$2-5,$1,$1,40309,
New Year 2007,Bear,14,$2-5,$1,$1,40457,
New Year 2008,Bear,15,$5-10,$1-3,$1,40718,
New York,Bear,12,$2-5,$1,$1,40050,Trade Show
New York (NY),Bear,12,$5-15,$1-5,$1,40049,Trade Show promo - people don't advertise these correctly so they can be obtained on the cheap
New York Giants,Bear/Football,19,$7-11,$3-5,$1,41718,NFL licensed
New York Rangers,Bear/Hockey,19,$10-14,$5-7,$1-3,41731,NHL licensed
New York Rose,Bear,13,$5-10,$1,$1,40288,Trade Show
New York State,Bear,12,$5-10,$1,$1,40148,State
New York Yankees,Bear/Baseball,19,$6-9,$3-5,$1-3,41703,MLB licensed
New Zealand,Bear,13,$10-20,$2-5,$1-3,46026,New Zealand
Nibble,Bunny Rabbit,15,$3-7,$1,$1,40494,
Nibbler,Bunny Rabbit,5,$1-5,$1,$1,4216,
Nibbler,Bunny Rabbit,19,$9-18,$2-5,$1-3,41700,
Nibblies,Bunny Rabbit,"7,11",$2-6,$1,$1,4584,
Nibbly,Bunny Rabbit,5,$1-5,$1,$1,4217,
Nigel,Bear,14,$8-12,$1-3,$1,46086,Beales & UK
Niklas,Bear,15,$15-25,$4-8,$1-3,46105,Germany
Niles,Camel,6,$2-5,$1,$1,4284,
Nimbus (Harrods green ribbon),Bear,15,$14-25,$4-7,$1-3,46133,Harrods UK
Nimbus (Harrods green ribbon),Bear,15 UK,$14-25,$4-7,$1-3,46133,Harrods UK
Nimbus (Ti any blue ribbon) boxed,Bear,15 UK,$35-55,$12-20,$5-10,46133,Harrods UK
Nimbus (Ti any blue ribbon) no box,Bear,15 UK,$18-22,$3-5,$1-3,46133,Harrods UK
Niña,Bear,12,$2-5,$1,$1,44021,Ty Store
Nip (all gold),Cat,3,$150- 275,$90- 140,$40- 80,4003,
Nip (white face),Cat,2,$190- 350,$100- 175,$20- 35,4003,Magenta Whiskers
Nip (white face),Cat,3,$80- 175,$45-75,$10- 30,4003,Pink Whiskers
Nip (White paws),Cat,3,$50- 100,$20-35,$1,4003,With a 1st gen tush tag
Nip (White paws),Cat,3,$30-75,$15-30,$1,4003,With a 2nd gen tush tag
Nip (White paws),Cat,"4,5",$2-7,$1,$1,4003,
Nipponia,Bear,6,$2-7,$1,$1,4605,Japan
Nipponia,Bear,8,$2-7,$1,$1,4605,Japan
No. 3,Bear,15,$2-6,$1,$1,40569,Nascar
Norman,Guinea Pig/ The Secret Life of Pets,19,$6-12,$1-3,$1,42238,
Northland,Bear,13,$4-10,$1,$1,46020,Canada
November (neck ru e),Bear,Birthday,$2-6,$1,$1,4386,
November (party hat),Bear,Birthday,$2-6,$1,$1,4550,
Nutmeg,Deer,17,$7-15,$1-3,$1,40857,
Nuts,Squirrel,"4,5",$1-5,$1,$1,4114,
Nutty,Squirrel,"7,11",$3-8,$1,$1,4587,
O (O beanie),Bear,Alphabet,$1-3,$1,$1,40515,
Oakdale,Mouse,15,$7-15,$1-3,$1,44115,Ty Store
Oasis,Tiger,BB2.0,$5-12,$1-3,$1,42032,
Oats,Horse,"6,7",$2-6,$1,$1,4305,
Ocker,Bear,12,$5-15,$1-3,$1,46000,Australia
October (neck ru e),Bear,Birthday,$2-7,$1,$1,4380,
October (party hat),Bear,Birthday,$2-7,$1,$1,4549,
Oddie,Moshi Monsters,18,$18-22,$3-7,$1-3,46213,UK
Oddie Key-clip,Moshi Monsters,19 sm,$5-12,$2-4,$1,46220,UK
Odette (pink),Swan,19,$3-7,$1-3,$1,41034,
Odie,Gar eld,12,$10-30,$3-5,$1,40112,
Odie (lg. tongue),Gar eld,15,$11-20,$3-5,$1,40669,
Odie (with DVD),Gar eld,15 sm,$35-45,$10-20,$1,none,
O'Fortune,Bear,15,$4-10,$1-3,$1,40481,
Ohio,Bear,12,$4-10,$1,$1,40122,State
Ohio Scarlet Carnation,Bear,13,$2-10,$1,$1,40296,Trade Show
Okojo (small) (brown),Stoat/Weasel,19,$60-90,$35-50,$5-10,41175,"Japan. Glory Family. 7"""
Okojo (medium) (brown),Stoat/Weasel,19,$75- 100,$40-60,$5-10,96287,"Japan. Glory Family. 9"""
Okojo (large) (brown),Stoat/Weasel,19,$80- 125,$40-60,$5-10,96237,"Japan - Glory Family. 11"""
Okojo Winter (small) (white),Stoat/Weasel,19,$60-90,$35-50,$5-10,41176,"Japan. Glory Family. 7"""
Okojo Winter (medium) (white),Stoat/Weasel,19,$75- 100,$40-60,$5-10,96288,"Japan. Glory Family. 9"""
Okojo Winter (large) (white),Stoat/Weasel,19,$80- 125,$40-60,$5-10,96238,"Japan - Glory Family. 11"""
Okojo Winter (key-clip) (white),Stoat/Weasel,19,$40-60,$25-35,$5-10,36517,"Japan. Glory Family. 5"""
Olaf (pink heart),Snowman/ Frozen,19,$3-6,$1,$1,41090,
Olaf (snowman),Snowman/ Frozen,19,$3-6,$1,$1,41147,
Olaf (sound),Snowman/ Frozen,19,$3-6,$1,$1,41148,Europe
Olaf (Santa Hat),Snowman/ Frozen,Sparkle,$3-6,$1,$1,41149,
Olaf Key-clip,Snowman/ Frozen,Sparkle,$3-6,$1,$1,36622,Plastic Clip
"Olaf Key-clip, with sound",Snowman/ Frozen,Sparkle sm,$8-12,$1-3,$1,36626,Metal Clip
Olaf,Frozen II,Sparkle,$3-6,$4-5,$3,41301,
Olaf Key-clip,Frozen II,Sparkle,$3-6,$2-3,$1,35230,
Old Timer,Bear,12,$1-5,$1-3,$1,47002,Cracker Barrel
Ole (Nobre in poem),Bull,12,$20-35,$5-11,$2-5,46006,Spain & Europe
Ole (Nombre in poem),Bull,12,$20-35,$5-11,$2-5,46006,Spain & Europe
O'Lucky,Bear,15,$7-14,$3-5,$1-3,44101,Ty Store
Omnia (Boxed) (gold heart on chest),Bear,15,$40- 100,$17-25,$1-3,46115,Harrods - boxed sets are trending up - this is for the boxed set
Omnia (red heart on chest),Bear,15,$14-20,$8-11,$3-5,46113,Harrods
Omnia Key-clip,Bear,15,$7-14,$3-5,$1-3,46117,Harrods
Omnibus (Boxed) (gold heart on chest),Bear,15,$40- 100,$17-25,$103,46116,Harrods - boxed sets are trending up - this is for the boxed set
Omnibus (red heart on chest),Bear,15,$14-20,$8-11,$3-5,46114,Harrods
Omnibus Key-clip,Bear,15,$7-14,$3-5,$1-3,46118,Harrods
Onny (Boblins),Boblins,15,$5-9,$2-5,$1-3,40633,"Canada, Australia, New Zealand, Ty Store"
Ontario White Trillium,Bear,13,$4-9,$1-3,$1,46037,Trade Show
Ooh-La-La,Dog: Poodle,12,$5-12,$1-3,$1,40093,
Opie,Octopus,13,$4-12,$2-5,$1-3,40246,
Opie (Ty Warner Sea Center),Octopus,13,$9-25,$9-11,$1-3,47007,Ty Warner Sea Center
Orange Ice,Bear,15,$25-40,$5-10,$1-3,40678,Trade Show - trending up & becoming hard to nd
Orchard (grey),Bunny Rabbit,17,$5-15,$3-5,$1-3,40875,trending down
Oriel,Fish,13,$4-7,$1-3,$1,40249,
Orient,Cat,15,$20-30,$8-12,$1-3,40713,
Orion,Lion,"7,11",$1-5,$1,$1,40019,
Oshawott,Pokemon,18,$40-60,$9-12,$1-5,46182,UKhard to nd in mint condition - cost more in the USA
Osito,Bear,5,$1-12,$1,$1,4244,USA
Oslo,Bear,19,$8-15,$3-5,$1-3,36688,
Otis,Dog: Corgi,19,$30-40,$15-25,$8-15,42102,
Outlaw,Dog: Black Lab,14,$15-25,$8-14,$1-3,40389,
P (P beanie),Bear,Alphabet,$1-3,$1,$1,40516,
P.F.C. with card/cert,Bear,12,$20-30,$9-14,$1-3,46018,Portsmouth Football Club Launch Certi cate
P. F. C.,Bear,12,$7-11,$2-5,$1-3,46018,UK
